,Compound,DateTime,Neg,Neu,Pos,Source,Text,Tweets Ago
350,-0.2732,2017-12-02 15:26:30,0.9,0.1,0.0,CBSNews,"RT @kylegriffin1: The White House's proposed budget cut to HIV/AIDS efforts could result in millions of new AIDS-related infections, accord…",351
351,0.0,2017-12-02 15:26:29,1.0,0.0,0.0,BBCWorld,RT @BBCWorld: Microsoft is saying goodbye to Paint after 32 years https://t.co/1kXDubBwRB https://t.co/VS7hQKZ0Zk,352
352,0.1027,2017-12-02 15:26:26,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",353
353,0.1027,2017-12-02 15:26:26,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",354
354,0.0,2017-12-02 15:26:26,1.0,0.0,0.0,BBCWorld,@BBCWorld @th4myres oq fazemos com os prints das tabelas agora??,355
355,0.1027,2017-12-02 15:26:24,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",356
356,0.0,2017-12-02 15:26:23,1.0,0.0,0.0,CBSNews,RT @cuchy68: @ABC @CBS @CBSNews @CNN @MSNBC @FoxNews @foxandfriends @nytimes @washingtonpost @TIME @NotiUno @realDonaldTrump  @CNNEE @Univi…,357
357,0.1027,2017-12-02 15:26:23,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",358
358,0.1027,2017-12-02 15:26:21,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",359
359,0.6369,2017-12-02 15:26:21,0.776,0.0,0.224,CBSNews,@ftdooley @CBSNews Yes it does Tom. These holier than thou fucking Christians are always ready to fucking pass judg… https://t.co/n6uguXJxFW,360
360,0.1027,2017-12-02 15:26:19,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",361
361,0.0,2017-12-02 15:26:19,1.0,0.0,0.0,CBSNews,"RT @FaceTheNation: SUNDAY: We'll talk with @SenateMajLdr  Mitch McConnell about the Senate's passage of tax reform, the GOP's next steps, a…",362
362,0.7253,2017-12-02 15:26:18,0.798,0.0,0.202,CBSNews,"RT @MKMAYER: @CBSNews Now they can go through it and throw out the least offensive element of each, and Trump will proudly sign it and brag…",363
363,0.765,2017-12-02 15:26:18,0.476,0.105,0.419,CBSNews,RT @PatrickClaybon: Stop covering this like it’s sports for the love of god. https://t.co/jv2MDqKSEC,364
364,0.2732,2017-12-02 15:26:18,0.81,0.073,0.117,CBSNews,"RT @EricSchultz: almost every headline this morning on tax bill is about a ""political victory."" At some point, I hope those charged with te…",365
365,0.3612,2017-12-02 15:26:17,0.737,0.0,0.263,BBCWorld,@BBCWorld Sounds like something al franken would say/do,366
366,0.1027,2017-12-02 15:26:17,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",367
367,-0.2732,2017-12-02 15:26:17,0.9,0.1,0.0,CBSNews,"RT @kylegriffin1: The White House's proposed budget cut to HIV/AIDS efforts could result in millions of new AIDS-related infections, accord…",368
368,0.1027,2017-12-02 15:26:15,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",369
369,0.1027,2017-12-02 15:26:15,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",370
